id;filename;titulo;capa;categoria;fuente;tipo_descarga;url_usada;estado;size_bytes
001;001_gpc_453_tmg_iacs_compl_2025-1.pdf;GPC 453 del SNS — Trastorno mental grave;1;Salud_mental;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2019/01/gpc_453_tmg_iacs_compl_2025-1.pdf;OK;1151624
002;002_gpc_579_participacion_comunitaria_ciudadanos.pdf;GPC 579 del SNS — Participación comunitaria en salud;1;Salud_publica;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2019/11/gpc_579_participacion_comunitaria_ciudadanos.pdf;OK;5861096
003;003_gpc_608_periodontitis.pdf;GPC 608 del SNS — Periodontitis;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2021/03/gpc_608_periodontitis.pdf;OK;3507658
004;004_gpc_481_conducta_suicida_avaliat_compl.pdf;GPC 481 del SNS — Prevención y tratamiento de la conducta suicida;1;Salud_mental;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2021/05/gpc_481_conducta_suicida_avaliat_compl.pdf;OK;4189108
005;005_gpc_604_traumatismo_toracico_osteba_compl.pdf;GPC 604 del SNS — Traumatismo torácico;1;Urgencias;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2021/05/gpc_604_traumatismo_toracico_osteba_compl.pdf;OK;1846947
006;006_gpc_612_atencion_paliativa_avaliat_compl_.pdf;GPC 612 del SNS — Atención paliativa al adulto;1;Cuidados_paliativos;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2022/01/gpc_612_atencion_paliativa_avaliat_compl_.pdf;OK;19546483
007;007_gpc_613_antibioticos_implantologia_oral_compl.pdf;GPC 613 del SNS — Antibióticos en implantología oral;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2022/01/gpc_613_antibioticos_implantologia_oral_compl.pdf;OK;6453343
008;008_gpc_614_covid_pediatria_compl.pdf;GPC 614 del SNS — COVID-19 en pediatría;1;Pediatria;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2022/04/gpc_614_covid_pediatria_compl.pdf;OK;15009964
009;009_gpc_619_recomendaciones_practica_clinica_parkinson_compl.pdf;GPC 619 del SNS — Enfermedad de Parkinson;1;Neurologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2022/11/gpc_619_recomendaciones_practica_clinica_parkinson_compl.pdf;OK;15303586
010;010_gpc_620_atencion_odontologica_cancer_oral_secib_compl.pdf;GPC 620 del SNS — Atención odontológica en el paciente con cáncer oral;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/03/gpc_620_atencion_odontologica_cancer_oral_secib_compl.pdf;OK;9229208
011;011_gpc_621_periodontitis_sepo_compl.pdf;GPC 621 del SNS — Tratamiento de la periodontitis;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/03/gpc_621_periodontitis_sepo_compl.pdf;OK;4074353
012;012_gpc_622_cirugia_bucal_trastornos_coagulacion_secib_compl.pdf;GPC 622 del SNS — Cirugía bucal en pacientes con trastornos de la coagulación;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/03/gpc_622_cirugia_bucal_trastornos_coagulacion_secib_compl.pdf;OK;2095530
013;013_gpc_623_actividad_fisica_embarazo_upm_compl.pdf;GPC 623 del SNS — Actividad física durante el embarazo;1;Ginecologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/04/gpc_623_actividad_fisica_embarazo_upm_compl.pdf;OK;11633154
014;014_gpc_624_osteoporosis_seiomm_compl.pdf;GPC 624 del SNS — Osteoporosis;1;Reumatologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/05/gpc_624_osteoporosis_seiomm_compl.pdf;OK;185489
015;015_gpc_618_cuidados_palitativos_pediatria_iacs_compl.pdf;GPC 618 del SNS — Cuidados paliativos pediátricos;1;Cuidados_paliativos;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/10/gpc_618_cuidados_palitativos_pediatria_iacs_compl.pdf;OK;1686512
016;016_gpc_625_prevencion_secundaria_ictus_aetsa_compl.pdf;GPC 625 del SNS — Prevención secundaria del ictus;1;Neurologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/10/gpc_625_prevencion_secundaria_ictus_aetsa_compl.pdf;OK;3169058
017;017_gpc_626_terceros_molares_secib_compl.pdf;GPC 626 del SNS — Terceros molares;1;Odontologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2023/11/gpc_626_terceros_molares_secib_compl.pdf;OK;2574143
018;018_gpc_534_depresion_adulto_avaliat_compl.pdf;GPC 534 del SNS — Manejo de la depresión en el adulto;1;Salud_mental;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2024/02/gpc_534_depresion_adulto_avaliat_compl.pdf;OK;4540316
019;019_gpc_630_tabaquismo_separ_compl.pdf;GPC 630 del SNS — Tratamiento del tabaquismo;1;Neumologia;GuiaSalud;web;https://portal.guiasalud.es/wp-content/uploads/2024/07/gpc_630_tabaquismo_separ_compl.pdf;OK;955992
